state_abb,state_name,population_2022,avg_household_income_2022,median_household_income_2022,area_sq_mile,state_capital,gdp_2022,unemployment_2022_pct,top_industry_1,top_industry_2,top_industry_3,statehood_yr
AL,Alabama,5073903,78639.09,59609,50647.13,Montgomery,2.77817E+11,2.6,Manufacturing,Real estate,Professional and business services,1819
AK,Alaska,733276,105162.63,86370,571022.38,Juneau,63618000000,4,"Mining, quarrying, and oil and gas extraction",Transportation and warehousing,Real estate,1959
AZ,Arizona,7365684,100890.13,72581,113653.42,Phoenix,4.5895E+11,3.8,Real estate,Professional and business services,"Education, health care, and social services",1912
AR,Arkansas,3046404,77114.15,56335,51992.85,Little Rock,1.65221E+11,3.3,Manufacturing,Professional and business services,Real estate,1836
CA,California,39240000,84376,85300,155812000,Sacramento,2.89E+12,4.1,Tourism,Agriculture,Entertainment,1850
CO,Colorado,5812000,117508,87598,103601000,Denver,3.8583E+11,3.3,Agriculture,Mining,Manufacturing,1876
CT,Connecticut,3606000,130601,90213,5018000,Hartford,2.7667E+11,4,Finance and Insurance,Real Estate,Manufacturing,1788
DE,Delaware,1019459,80750,79325,1982,Dover,65000000000,4.5,Finance and Insurance,Manufactoring,Fishing,1787
FL,Florida,22240000,74580,65370,65757,Tallahassee,1.38907E+12,2.7,Tourism and Hospitality,Real Estate,Aviation & Aerospace,1845
GA,Georgia,10913150,71355,67730,57919,Atlanta,5.9126E+11,3,Aerospace,Agriculture,Automotive,1788
HI,Hawaii,1439399,122902,94814,10931,Honolulu,98218800000,3.7,Tourism,Agriculture,construction industries,1959
ID,Idaho,1938996,72580,70214,82751,Boise,84000000000,2.7,Energy,Manufacturing,Agriculture,1890
IL,Illinois,12810000,90861,72205,57918,Chicago,7.9797E+11,4.7,Agriculture,Manufacturing,Services,1818
IN,Indiana,6790000,62743,79243,36418,Indianapolis,3.5296E+11,2.2,Manufacturing ,Agriculture,Transportation,1816
IA,Iowa,3190000,65600,76320,56273,Des Moines,1.7709E+11,2.7,Agriculture,Manufacturing,Renewable Energies,1846
KS,Kansas,2937150,94263,73040,82278,Topeka,1.6494E+11,2.7,"Corn, Wheat, & Soybean",Aircraft Part Sales,Farm Equipment Sales,1861
KY,Kentucky,4511563,83093,55573,39480.9,Frankfurt,2.0138E+11,3.9,Manufacturing,Agriculture,Coal,1792
LA,Louisiana,4588023,83169,52087,43210.23,Baton Rouge,2.1716E+11,3.7,Chemical,Petroleum ,Coal,1812
ME,Maine,1354200,56000,57918,35385,Augusta,65000000000,4.2,Tourism,Agriculture,Manufacturing,1820
